timestamp,test_id,pid_p,pid_i,pid_d,target_left,target_right,actual_speed_left,actual_speed_right,pos_left,pos_right,error_left,error_right
0.000000,17,0.800000,0.050000,0.200000,200,200,0.000000,-0.000000,1791.000000,1790.000000,200.000000,200.000000
0.265830,17,0.800000,0.050000,0.200000,200,200,107.640000,119.590000,2016.000000,2003.000000,92.360000,80.410000
0.534266,17,0.800000,0.050000,0.200000,200,200,167.430000,143.510000,2379.000000,2359.000000,32.570000,56.490000
0.800779,17,0.800000,0.050000,0.200000,200,200,203.310000,191.350000,2809.000000,2787.000000,-3.310000,8.650000
1.068678,17,0.800000,0.050000,0.200000,200,200,203.310000,215.270000,3251.000000,3235.000000,-3.310000,-15.270000
1.333021,17,0.800000,0.050000,0.200000,200,200,203.310000,227.230000,3719.000000,3711.000000,-3.310000,-27.230000
1.597439,17,0.800000,0.050000,0.200000,200,200,203.310000,203.310000,4168.000000,4167.000000,-3.310000,-3.310000
1.865233,17,0.800000,0.050000,0.200000,200,200,203.310000,215.270000,4629.000000,4631.000000,-3.310000,-15.270000
0.000000,18,0.800000,0.050000,0.200000,300,300,11.960000,23.920000,5372.000000,5363.000000,288.040000,276.080000
0.266167,18,0.800000,0.050000,0.200000,300,300,155.470000,143.510000,5704.000000,5679.000000,144.530000,156.490000
0.534179,18,0.800000,0.050000,0.200000,300,300,239.190000,239.190000,6258.000000,6223.000000,60.810000,60.810000
0.804212,18,0.800000,0.050000,0.200000,300,300,275.070000,275.070000,6865.000000,6829.000000,24.930000,24.930000
1.070496,18,0.800000,0.050000,0.200000,300,300,298.990000,298.990000,7539.000000,7504.000000,1.010000,1.010000
1.335877,18,0.800000,0.050000,0.200000,300,300,322.910000,322.910000,8200.000000,8171.000000,-22.910000,-22.910000
1.599839,18,0.800000,0.050000,0.200000,300,300,322.910000,310.950000,8890.000000,8867.000000,-22.910000,-10.950000
1.865939,18,0.800000,0.050000,0.200000,300,300,310.950000,298.990000,9552.000000,9536.000000,-10.950000,1.010000
0.000002,19,0.800000,0.050000,0.200000,500,500,23.920000,35.880000,10753.000000,10749.000000,476.080000,464.120000
0.264451,19,0.800000,0.050000,0.200000,500,500,263.110000,275.070000,11365.000000,11330.000000,236.890000,224.930000
0.531081,19,0.800000,0.050000,0.200000,500,500,394.660000,394.660000,12261.000000,12203.000000,105.340000,105.340000
0.799340,19,0.800000,0.050000,0.200000,500,500,466.420000,454.460000,13260.000000,13194.000000,33.580000,45.540000
1.066569,19,0.800000,0.050000,0.200000,500,500,478.380000,478.380000,14364.000000,14296.000000,21.620000,21.620000
1.332658,19,0.800000,0.050000,0.200000,500,500,490.340000,490.340000,15452.000000,15390.000000,9.660000,9.660000
1.597437,19,0.800000,0.050000,0.200000,500,500,502.300000,514.260000,16589.000000,16535.000000,-2.300000,-14.260000
1.863390,19,0.800000,0.050000,0.200000,500,500,502.300000,490.340000,17727.000000,17679.000000,-2.300000,9.660000
